enqueue_latency_ns,dequeue_latency_ns
519.966,1049.93
399.974,559.964
289.981,869.943
169.989,1779.88
519.966,1289.92
449.971,849.945
409.973,1029.93
299.98,949.938
319.979,659.957
319.979,999.935
409.973,969.937
399.974,549.964
309.98,1049.93
459.97,1019.93
589.962,929.94
399.974,739.952
429.972,1129.93
429.972,659.957
469.969,859.944
509.967,1179.92
389.975,1189.92
199.987,1559.9
369.976,959.938
339.978,759.951
489.968,1399.91
389.975,1159.92
589.962,1019.93
499.967,589.962
309.98,1029.93
429.972,1079.93
329.979,789.949
1819.88,939.939
439.971,1839.88
539.965,649.958
169.989,1389.91
269.982,1159.92
299.98,539.965
399.974,1599.9
159.99,869.943
469.969,469.969
169.989,809.947
199.987,779.949
319.979,2119.86
289.981,1219.92
309.98,809.947
179.988,719.953
469.969,1319.91
49.9967,1529.9
149.99,519.966
179.988,539.965
819.947,649.958
309.98,929.94
299.98,969.937
169.989,999.935
269.982,1089.93
49.9967,829.946
309.98,679.956
479.969,919.94
39.9974,1019.93
309.98,1209.92
329.979,629.959
339.978,929.94
419.973,399.974
1249.92,1009.93
429.972,1189.92
319.979,979.936
329.979,899.941
389.975,589.962
419.973,679.956
169.989,979.936
419.973,1179.92
459.97,1129.93
309.98,1059.93
309.98,929.94
679.956,779.949
479.969,1369.91
319.979,1089.93
49.9967,1969.87
379.975,599.961
169.989,1069.93
399.974,899.941
639.958,669.956
279.982,1099.93
479.969,1189.92
479.969,1669.89
559.964,889.942
369.976,709.954
319.979,1809.88
299.98,1719.89
539.965,1309.91
319.979,879.943
679.956,889.942
299.98,759.951
309.98,1519.9
199.987,839.945
1489.9,1139.93
439.971,669.956
339.978,819.947
339.978,839.945
589.962,679.956
319.979,939.939
499.967,599.961
169.989,1009.93
509.967,1619.89
49.9967,1009.93
279.982,789.949
309.98,879.943
269.982,899.941
339.978,619.96
429.972,619.96
419.973,629.959
379.975,869.943
319.979,1009.93
319.979,869.943
329.979,989.936
619.96,849.945
419.973,2009.87
499.967,1009.93
39.9974,1089.93
479.969,719.953
409.973,979.936
329.979,649.958
389.975,1219.92
309.98,789.949
399.974,919.94
289.981,1119.93
399.974,1149.93
1569.9,949.938
479.969,1669.89
509.967,1499.9
449.971,639.958
429.972,1139.93
179.988,2189.86
49.9967,2119.86
479.969,1339.91
589.962,809.947
169.989,1099.93
289.981,999.935
399.974,1119.93
169.989,849.945
239.984,669.956
149.99,859.944
349.977,799.948
539.965,1489.9
389.975,989.936
489.968,1199.92
319.979,1059.93
369.976,1329.91
39.9974,1429.91
289.981,1379.91
499.967,1339.91
299.98,569.963
329.979,1589.9
319.979,1359.91
279.982,599.961
329.979,1099.93
539.965,959.938
319.979,1279.92
409.973,239.984
919.94,889.942
259.983,1109.93
499.967,1019.93
339.978,919.94
459.97,1129.93
329.979,1329.91
529.966,549.964
439.971,989.936
499.967,859.944
509.967,1229.92
309.98,1519.9
189.988,879.943
489.968,1119.93
509.967,989.936
629.959,759.951
319.979,889.942
429.972,1109.93
439.971,1079.93
299.98,1119.93
419.973,929.94
429.972,2039.87
159.99,629.959
329.979,879.943
479.969,789.949
299.98,769.95
349.977,909.941
319.979,529.966
319.979,669.956
509.967,1249.92
399.974,819.947
549.964,999.935
599.961,1049.93
1159.92,649.958
589.962,1049.93
509.967,809.947
319.979,739.952
49.9967,739.952
289.981,789.949
49.9967,769.95
219.986,1059.93
159.99,1059.93
39.9974,1489.9
359.977,1009.93
169.989,1069.93
329.979,739.952
159.99,819.947
169.989,549.964
349.977,789.949
169.989,689.955
799.948,1659.89
469.969,779.949
459.97,1039.93
609.96,1499.9
389.975,1509.9
319.979,1399.91
209.986,769.95
409.973,1129.93
449.971,1039.93
519.966,1099.93
429.972,959.938
159.99,1019.93
239.984,539.965
349.977,559.964
209.986,1179.92
1199.92,609.96
829.946,689.955
529.966,739.952
179.988,969.937
199.987,1329.91
429.972,839.945
389.975,979.936
469.969,689.955
299.98,969.937
379.975,979.936
409.973,1769.88
49.9967,699.954
179.988,1239.92
409.973,1119.93
219.986,1199.92
169.989,779.949
299.98,819.947
179.988,1159.92
399.974,1659.89
389.975,1309.91
769.95,1639.89
659.957,679.956
429.972,1339.91
419.973,1009.93
619.96,899.941
49.9967,1159.92
299.98,859.944
319.979,449.971
389.975,1389.91
399.974,949.938
509.967,1069.93
169.989,749.951
1229.92,1559.9
269.982,819.947
409.973,699.954
329.979,659.957
39.9974,1539.9
329.979,879.943
459.97,699.954
49.9967,1369.91
399.974,679.956
319.979,739.952
379.975,459.97
259.983,1219.92
169.989,919.94
169.989,1009.93
309.98,1109.93
609.96,1369.91
489.968,549.964
499.967,1009.93
449.971,1269.92
389.975,1119.93
519.966,829.946
569.963,1239.92
379.975,819.947
399.974,519.966
329.979,849.945
559.964,1159.92
289.981,1369.91
569.963,1299.92
329.979,819.947
179.988,639.958
409.973,789.949
569.963,1059.93
1079.93,599.961
709.954,809.947
499.967,1889.88
39.9974,889.942
519.966,809.947
349.977,709.954
49.9967,589.962
499.967,959.938
439.971,629.959
169.989,609.96
299.98,1119.93
479.969,1359.91
509.967,699.954
579.962,879.943
479.969,779.949
389.975,1109.93
309.98,1329.91
49.9967,759.951
169.989,1189.92
399.974,1399.91
449.971,1469.9
479.969,1449.91
429.972,659.957
49.9967,1729.89
49.9967,789.949
159.99,1889.88
389.975,1139.93
349.977,1129.93
459.97,1899.88
499.967,759.951
419.973,859.944
169.989,809.947
1059.93,909.941
769.95,1229.92
439.971,629.959
439.971,619.96
39.9974,569.963
429.972,849.945
379.975,1009.93
459.97,1239.92
409.973,1519.9
399.974,1399.91
419.973,859.944
319.979,669.956
509.967,959.938
319.979,749.951
319.979,929.94
319.979,869.943
159.99,1299.92
289.981,1059.93
469.969,779.949
319.979,699.954
369.976,919.94
309.98,679.956
169.989,1189.92
589.962,1269.92
49.9967,1099.93
299.98,799.948
189.988,799.948
459.97,559.964
529.966,939.939
269.982,1039.93
589.962,759.951
419.973,849.945
1199.92,629.959
529.966,1099.93
279.982,489.968
319.979,799.948
389.975,899.941
409.973,1199.92
629.959,999.935
289.981,839.945
309.98,789.949
369.976,1809.88
49.9967,939.939
289.981,809.947
159.99,739.952
329.979,709.954
739.952,889.942
219.986,699.954
309.98,1009.93
599.961,1479.9
319.979,749.951
279.982,529.966
389.975,1829.88
319.979,1049.93
319.979,709.954
309.98,929.94
159.99,1359.91
159.99,1399.91
289.981,859.944
169.989,1069.93
389.975,1309.91
399.974,839.945
309.98,1289.92
349.977,849.945
1039.93,609.96
429.972,1259.92
389.975,839.945
429.972,1199.92
429.972,1019.93
319.979,549.964
369.976,739.952
169.989,1039.93
169.989,779.949
399.974,819.947
509.967,1219.92
319.979,1279.92
459.97,939.939
319.979,1039.93
399.974,889.942
179.988,1139.93
509.967,929.94
369.976,649.958
389.975,1649.89
489.968,729.953
319.979,1499.9
169.989,899.941
159.99,1079.93
429.972,1029.93
49.9967,1109.93
319.979,899.941
359.977,579.962
469.969,1149.93
349.977,1399.91
399.974,1089.93
309.98,1009.93
389.975,849.945
1259.92,769.95
429.972,899.941
439.971,609.96
49.9967,1729.89
339.978,579.962
309.98,979.936
379.975,1169.92
439.971,779.949
339.978,1249.92
329.979,959.938
339.978,549.964
159.99,1279.92
399.974,1129.93
49.9967,629.959
359.977,699.954
479.969,709.954
409.973,889.942
379.975,1339.91
399.974,1149.93
169.989,839.945
519.966,999.935
319.979,599.961
379.975,539.965
309.98,709.954
309.98,959.938
489.968,639.958
319.979,1479.9
489.968,889.942
499.967,1509.9
319.979,1229.92
509.967,1009.93
389.975,759.951
1129.93,1259.92
439.971,1199.92
519.966,1329.91
319.979,999.935
159.99,839.945
309.98,709.954
309.98,559.964
489.968,1369.91
49.9967,1069.93
169.989,889.942
169.989,959.938
379.975,1129.93
289.981,1299.92
319.979,699.954
289.981,869.943
429.972,829.946
489.968,1229.92
309.98,899.941
379.975,1739.89
419.973,2529.84
319.979,869.943
379.975,1329.91
319.979,1029.93
319.979,1189.92
329.979,979.936
349.977,859.944
329.979,739.952
599.961,759.951
329.979,909.941
509.967,739.952
539.965,1109.93
289.981,819.947
1199.92,569.963
449.971,1439.91
389.975,1239.92
499.967,889.942
309.98,789.949
329.979,919.94
469.969,799.948
299.98,599.961
379.975,1639.89
329.979,739.952
169.989,1349.91
599.961,629.959
209.986,899.941
409.973,829.946
359.977,859.944
459.97,739.952
389.975,1319.91
319.979,1919.88
579.962,1149.93
159.99,1489.9
419.973,659.957
379.975,1739.89
299.98,909.941
169.989,469.969
339.978,699.954
349.977,1539.9
339.978,1159.92
469.969,659.957
49.9967,679.956
159.99,689.955
319.979,709.954
159.99,1339.91
1199.92,1349.91
509.967,659.957
159.99,619.96
499.967,1629.89
499.967,989.936
299.98,739.952
319.979,989.936
299.98,1079.93
169.989,749.951
49.9967,1829.88
319.979,1779.88
579.962,2149.86
789.949,1269.92
569.963,1209.92
369.976,1199.92
179.988,929.94
49.9967,829.946
609.96,1099.93
159.99,669.956
289.981,1859.88
429.972,1049.93
49.9967,789.949
49.9967,659.957
49.9967,1759.89
159.99,589.962
49.9967,929.94
559.964,1089.93
619.96,1199.92
489.968,1029.93
419.973,849.945
5519.64,939.939
159.99,939.939
1009.93,1149.93
449.971,989.936
309.98,639.958
499.967,1319.91
329.979,739.952
499.967,1199.92
399.974,1449.91
309.98,749.951
399.974,1119.93
439.971,659.957
379.975,1029.93
289.981,749.951
509.967,989.936
549.964,749.951
409.973,659.957
549.964,789.949
529.966,699.954
309.98,1199.92
319.979,829.946
389.975,1039.93
569.963,619.96
49.9967,949.938
359.977,669.956
399.974,919.94
319.979,1269.92
299.98,719.953
489.968,1159.92
539.965,839.945
179.988,679.956
289.981,1819.88
399.974,1339.91
309.98,1179.92
1039.93,1559.9
179.988,419.973
199.987,899.941
579.962,729.953
159.99,5769.62
479.969,639.958
159.99,869.943
509.967,1939.87
389.975,1179.92
429.972,699.954
319.979,749.951
179.988,799.948
339.978,839.945
319.979,789.949
169.989,1739.89
249.984,519.966
289.981,759.951
269.982,1179.92
279.982,629.959
619.96,859.944
329.979,1519.9
169.989,989.936
319.979,839.945
399.974,1229.92
339.978,749.951
329.979,839.945
159.99,599.961
469.969,1019.93
329.979,1769.88
49.9967,829.946
49.9967,1369.91
359.977,849.945
1219.92,1239.92
519.966,1239.92
429.972,1159.92
309.98,1549.9
329.979,739.952
389.975,1209.92
399.974,829.946
509.967,1709.89
429.972,1239.92
339.978,599.961
299.98,849.945
319.979,909.941
169.989,1289.92
149.99,799.948
549.964,719.953
49.9967,789.949
49.9967,1499.9
359.977,799.948
309.98,769.95
349.977,839.945
629.959,1489.9
299.98,1399.91
569.963,1359.91
399.974,1149.93
509.967,619.96
499.967,1079.93
169.989,919.94
309.98,989.936
